,,,,,short term DS2016 - DM2016,,Long term comparison 1: DM2030 - DM2016,,,Long term comparison 2: DS2030 - DM2016,,,Change in nuisance level,,,,,Total number of dwellings,185,,,,
,DM 2016,DM 2030,DS 2016,DS 2030,"LA10,18hr change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Impact magnitude,DM,DS,,,,Other sesntive receptors,2,,,,
Village Farm Bungalow,65.2,65.7,65.3,66.0,0.1,Negligible,0.5,0.5,Negligible,0.8,0.7,Negligible,1%,10%,,,,,,,,,
Hillcrest Grove 1a,62.5,63.0,62.6,63.4,0.1,Negligible,0.5,0.5,Negligible,0.9,0.8,Negligible,1%,10%,,,,short term DS - DM in 2016,Magnitude of impact,Daytime,,,
Hillcrest Grove 1,64.0,64.5,64.1,64.8,0.1,Negligible,0.5,0.5,Negligible,0.8,0.7,Negligible,1%,10%,,,,,,Number of dwellings,Number of other sensitive receptors,,
Hillcrest Grove 13,64.5,65.1,64.5,65.2,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,0.1-0.9 ,Negligible,14,0,,
Hillcrest Grove 21,64.0,64.6,64.0,64.7,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,1.0-2.9,Minor,0,0,,
The Paddock 10,51.2,51.8,51.4,52.1,0.2,Negligible,0.6,0.5,Negligible,0.9,0.8,Negligible,0%,12%,,,,3.0-4.9 ,Moderate,0,0,,
The Paddock 12,51.0,51.6,51.1,51.9,0.1,Negligible,0.6,0.5,Negligible,0.9,0.8,Negligible,0%,10%,,,,5+,Major,0,0,,
The Paddock 14,51.2,51.8,51.2,52.0,0.0,No change,0.6,0.5,Negligible,0.8,0.7,Negligible,0%,0%,,,,0,,28,,,
The Paddock 17,50.6,51.1,50.5,51.3,-0.1,-,0.5,0.5,Negligible,0.7,0.6,Negligible,0%,0%,,,,0.1-0.9,,74,1,,
North Close 14,67.4,67.8,67.4,68.1,0.0,No change,0.4,0.4,Negligible,0.7,0.6,Negligible,1%,2%,,,,1.0-2.9,,16,1,,
North Close15,59.6,58.9,59.4,60.2,-0.2,-,-0.7,-0.6,-,0.6,0.5,Negligible,-1%,1%,,,,3.0-4.9 ,,45,,,
North Close 7,56.7,56.9,56.1,56.8,-0.6,-,0.2,0.2,Negligible,0.1,0.1,Negligible,0%,0%,,,,5+,,8,,,
North Close 19,61.8,62.3,61.7,62.5,-0.1,-,0.5,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
North Close 22,62.9,63.3,62.6,63.4,-0.3,-,0.4,0.4,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
North Close 1,64.6,64.9,64.2,64.9,-0.4,-,0.3,0.3,Negligible,0.3,0.3,Negligible,1%,1%,,,,long term DM in 2030 - DM in 2016,,Daytime,,Night time,
North Lane 33,59.2,60.1,55.3,56.1,-3.9,-,0.9,0.8,Negligible,-3.1,-2.8,-,1%,-3%,,,,,,Number of dwellings,Number of other sensitive receptors,Number of dwellings,
North Lane 25,58.7,59.5,54.9,55.7,-3.8,-,0.8,0.7,Negligible,-3.0,-2.7,-,1%,-3%,,,,0.1-2.9,Negligible,180,,180,
North Lane 15,59.4,60.2,56.3,57.1,-3.1,-,0.8,0.7,Negligible,-2.3,-2.1,-,1%,-3%,,,,3.0-4.9,Minor,0,2,0,
North Lane 11,59.9,60.7,56.8,57.6,-3.1,-,0.8,0.7,Negligible,-2.3,-2.1,-,1%,-3%,,,,5.0 - 9.9,Moderate,0,,0,
North Lane 7,60.4,61.2,56.6,57.3,-3.8,-,0.8,0.7,Negligible,-3.1,-2.8,-,1%,-4%,,,,10+ ,Major,0,,0,
Midbec,59.1,59.8,55.6,56.3,-3.5,-,0.7,0.6,Negligible,-2.8,-2.5,-,1%,-3%,,,,0,,1,,1,
Ashgill,59.2,60.0,55.6,56.3,-3.6,-,0.8,0.7,Negligible,-2.9,-2.6,-,1%,-3%,,,,0.1-2.9,,4,,4,
My Dene,58.6,59.4,55.3,56.1,-3.3,-,0.8,0.7,Negligible,-2.5,-2.3,-,1%,-3%,,,,3.0-4.9,,0,,0,
Belmont,63.4,64.4,58.0,58.8,-5.4,-,1.0,0.9,Negligible,-4.6,-4.1,-,2%,-7%,,,,5.0 - 9.9,,0,,0,
Hillcrest Grove 2,64.4,64.8,64.3,65.0,-0.1,-,0.4,0.4,Negligible,0.6,0.5,Negligible,1%,1%,,,,10+ ,,0,,0,
Hillcrest Grove 10,61.5,62.0,61.5,62.2,0.0,No change,0.5,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Floreat,66.0,66.4,65.6,66.3,-0.4,-,0.4,0.4,Negligible,0.3,0.3,Negligible,1%,1%,,,,,,,,,
Domick,66.0,66.4,65.6,66.3,-0.4,-,0.4,0.4,Negligible,0.3,0.3,Negligible,1%,1%,,,,long term DS in 2030 - DM in 2016,,Daytime,,Night time,
St Peter's Primary School,65.9,66.5,65.4,66.1,-0.5,-,0.6,0.5,Negligible,0.2,0.2,Negligible,1%,0%,,,,,,Number of dwellings,Number of other sensitive receptors,Number of dwellings,
Bareen,65.3,65.9,64.4,65.2,-0.9,-,0.6,0.5,Negligible,-0.1,-0.1,-,1%,0%,,,,0.1-2.9,Negligible,106,1,106,
Gerrans,65.2,65.8,64.2,65.0,-1.0,-,0.6,0.5,Negligible,-0.2,-0.2,-,1%,0%,,,,3.0-4.9,Minor,0,,0,
Green Ingle,65.0,65.7,64.0,64.8,-1.0,-,0.7,0.6,Negligible,-0.2,-0.2,-,1%,0%,,,,5.0 - 9.9,Moderate,0,,0,
Samarkand,65.1,65.8,64.1,64.8,-1.0,-,0.7,0.6,Negligible,-0.3,-0.3,-,1%,-1%,,,,10+ ,Major,0,,0,
Lamorna,64.9,65.7,63.9,64.6,-1.0,-,0.8,0.7,Negligible,-0.3,-0.3,-,2%,-1%,,,,0,,3,,3,
the Cedars,64.9,65.6,63.8,64.6,-1.1,-,0.7,0.6,Negligible,-0.3,-0.3,-,1%,-1%,,,,0.1-2.9,,46,1,62,
North Lane 16,64.9,65.7,63.7,64.4,-1.2,-,0.8,0.7,Negligible,-0.5,-0.5,-,2%,-1%,,,,3.0-4.9,,27,,11,
Pringles,63.3,63.9,62.6,63.3,-0.7,-,0.6,0.5,Negligible,0.0,0.0,No change,1%,0%,,,,5.0 - 9.9,,2,,3,
Dewondell,64.2,64.9,63.3,64.0,-0.9,-,0.7,0.6,Negligible,-0.2,-0.2,-,1%,0%,,,,10+ ,,1,,0,
North Lane 10,64.8,65.5,63.8,64.5,-1.0,-,0.7,0.6,Negligible,-0.3,-0.3,-,1%,-1%,,,,,,,,,
North Lane 8,65.2,66.1,63.6,64.3,-1.6,-,0.9,0.8,Negligible,-0.9,-0.8,-,2%,-2%,,,,,,,,,
North Lane 2,64.2,65.0,62.5,63.2,-1.7,-,0.8,0.7,Negligible,-1.0,-0.9,-,2%,-2%,,,,,,,,,
Ashlea,64.8,65.6,63.2,63.9,-1.6,-,0.8,0.7,Negligible,-0.9,-0.8,-,2%,-2%,,,,,,Do-Minimum,Do-Something,,
Veolan,64.5,65.3,62.8,63.6,-1.7,-,0.8,0.7,Negligible,-0.9,-0.8,-,2%,-2%,,,,Change in nuisance level,,Number of dwellings,Number of dwellings,,
El Sub Sta 7,58.6,59.2,58.2,59.0,-0.4,-,0.6,0.5,Negligible,0.4,0.4,Negligible,1%,0%,,,,Increase in nuisance level,< 10%,180,105,,
Greelea 4,53.0,53.6,52.9,53.7,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,0%,1%,,,,,10 < 20%,,3,,
Greenlea 1,60.9,61.4,60.5,61.2,-0.4,-,0.5,0.5,Negligible,0.3,0.3,Negligible,1%,0%,,,,,20 < 30%,,,,
El Sub Sta 6,62.0,62.6,61.8,62.6,-0.2,-,0.6,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,30 < 40%,,,,
Greenlea 5,63.0,63.5,62.8,63.6,-0.2,-,0.5,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,>40%,,,,
Greenlea 11,61.4,61.9,61.2,62.0,-0.2,-,0.5,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,No change,0,1,2,,
El Sub Sta 12,59.0,59.5,59.0,59.7,0.0,No change,0.5,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,Decrease in nuisance level,< 10%,4,75,,
El Sub Sta 14,57.9,58.5,57.9,58.6,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,10 < 20%,,,,
The Paddock 4,59.9,60.5,59.8,60.6,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,20 < 30%,,,,
The Paddock 1,59.7,60.3,59.6,60.4,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,30 < 40%,,,,
The Paddock 2,56.0,56.6,56.0,56.8,0.0,No change,0.6,0.5,Negligible,0.8,0.7,Negligible,1%,1%,,,,,>40%,,,,
Martindale Close 1,61.2,61.8,61.2,61.9,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Martindale Close 5,51.0,51.7,50.9,51.6,-0.1,-,0.7,0.6,Negligible,0.6,0.5,Negligible,0%,0%,,,,,,,,,
Martindale Close 8,59.9,60.5,60.0,60.8,0.1,Negligible,0.6,0.5,Negligible,0.9,0.8,Negligible,1%,10%,,,,,,,,,
Martindale Close 9,60.1,60.7,60.2,60.9,0.1,Negligible,0.6,0.5,Negligible,0.8,0.7,Negligible,1%,10%,,,,,,,,,
The Paddock 9,60.8,61.3,60.8,61.6,0.0,No change,0.5,0.5,Negligible,0.8,0.7,Negligible,1%,1%,,,,,,,,,
Manor Close 22,56.0,56.6,56.0,56.8,0.0,No change,0.6,0.5,Negligible,0.8,0.7,Negligible,1%,1%,,,,,,,,,
Manor Close 21,56.4,57.0,56.4,57.2,0.0,No change,0.6,0.5,Negligible,0.8,0.7,Negligible,1%,1%,,,,,,,,,
Manor Close 19,56.8,57.3,56.7,57.5,-0.1,-,0.5,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Manor Close 20,56.7,57.3,56.7,57.4,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
Manor Close 13,60.9,61.4,60.6,61.3,-0.3,-,0.5,0.5,Negligible,0.4,0.4,Negligible,1%,1%,,,,,,,,,
Manor Close 7,50.6,51.3,49.6,50.4,-1.0,-,0.7,0.6,Negligible,-0.2,-0.2,-,0%,0%,,,,,,,,,
Westlands 18,62.7,63.0,62.1,62.8,-0.6,-,0.3,0.3,Negligible,0.1,0.1,Negligible,1%,0%,,,,,,,,,
The Green 7,62.2,62.6,59.6,60.3,-2.6,-,0.4,0.4,Negligible,-1.9,-1.7,-,1%,-3%,,,,,,,,,
The Green 8,64.1,64.5,62.2,63.0,-1.9,-,0.4,0.4,Negligible,-1.1,-1.0,-,1%,-2%,,,,,,,,,
The Green 9,65.9,66.7,61.7,62.8,-4.2,-,0.8,0.7,Negligible,-3.1,-2.8,-,2%,-6%,,,,,,,,,
The Green 2,64.1,64.7,59.4,60.3,-4.7,-,0.6,0.5,Negligible,-3.8,-3.4,-,1%,-6%,,,,,,,,,
The Green 3,64.4,64.9,60.4,61.2,-4.0,-,0.5,0.5,Negligible,-3.2,-2.9,-,1%,-6%,,,,,,,,,
The Green 5,64.6,65.1,61.0,61.9,-3.6,-,0.5,0.5,Negligible,-2.7,-2.4,-,1%,-5%,,,,,,,,,
The Green 12,56.3,56.8,56.2,56.9,-0.1,-,0.5,0.5,Negligible,0.6,0.5,Negligible,0%,1%,,,,,,,,,
The Green 12b,57.0,57.5,56.9,57.6,-0.1,-,0.5,0.5,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
The Green 15,67.0,68.0,61.8,63.1,-5.2,-,1.0,0.9,Negligible,-3.9,-3.5,-,2%,-8%,,,,,,,,,
The Green 16,67.6,68.6,62.1,63.5,-5.5,-,1.0,0.9,Negligible,-4.1,-3.7,-,2%,-9%,,,,,,,,,
The Green 1,62.7,62.9,58.6,59.3,-4.1,-,0.2,0.2,Negligible,-3.4,-3.1,-,0%,-5%,,,,,,,,,
The Green 43,65.5,65.8,62.4,63.2,-3.1,-,0.3,0.3,Negligible,-2.3,-2.1,-,1%,-4%,,,,,,,,,
The Green 33,64.2,64.7,60.4,61.3,-3.8,-,0.5,0.5,Negligible,-2.9,-2.6,-,1%,-5%,,,,,,,,,
Westall,64.2,64.6,60.2,61.0,-4.0,-,0.4,0.4,Negligible,-3.2,-2.9,-,1%,-5%,,,,,,,,,
Ivanhoe,64.2,64.7,60.0,60.9,-4.2,-,0.5,0.5,Negligible,-3.3,-3.0,-,1%,-6%,,,,,,,,,
Kelvin,63.9,64.3,59.6,60.6,-4.3,-,0.4,0.4,Negligible,-3.3,-3.0,-,1%,-6%,,,,,,,,,
St HIlda's Terrace,64.3,65.1,60.9,61.9,-3.4,-,0.8,0.7,Negligible,-2.4,-2.2,-,2%,-4%,,,,,,,,,
Greenwyas,64.8,65.6,61.1,62.2,-3.7,-,0.8,0.7,Negligible,-2.6,-2.3,-,2%,-5%,,,,,,,,,
HIllcroft,64.9,65.7,61.1,62.2,-3.8,-,0.8,0.7,Negligible,-2.7,-2.4,-,2%,-5%,,,,,,,,,
The Croft,65.4,66.2,61.5,62.6,-3.9,-,0.8,0.7,Negligible,-2.8,-2.5,-,2%,-5%,,,,,,,,,
Institue,66.2,67.0,62.0,63.1,-4.2,-,0.8,0.7,Negligible,-3.1,-2.8,-,2%,-6%,,,,,,,,,
